"## Filename : qalingo-common-wording",,,,,,,,,,,,,,
"## PrefixKey : common",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"##",,,,,,,,,,,,,,
"## Qalingo - {Q} Project",,,,,,,,,,,,,,
"## Internationalisation - """"XXLANGUAGE_CODEXX"""" - Common Messages",,,,,,,,,,,,,,
"##",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Prefix","Key","en","fr","de","es","it","nl","pt","jp","zh_CN","zh_HK","zh_SG","zh_TW","vi_VN"
"legal.terms","copyright","Copyright © 2015 - <a href=""http://www.qalingo.com"" alt=""Qalingo.com"" target=""_blank"">{Q}alingo</a> by  <a href=""http://www.Demo Qalingo Company.com"" alt=""Demo Qalingo Company.com"" target=""_blank"">Demo Qalingo Company</a>","Copyright © 2015 - <a href=""http://www.qalingo.com"" alt=""Qalingo.com"" target=""_blank"">{Q}alingo</a> by  <a href=""http://www.Demo Qalingo Company.com"" alt=""Demo Qalingo Company.com"" target=""_blank"">Demo Qalingo Company</a>","Copyright © 2015 - <a href=""http://www.qalingo.com"" alt=""Qalingo.com"" target=""_blank"">{Q}alingo</a> by  <a href=""http://www.Demo Qalingo Company.com"" alt=""Demo Qalingo Company.com"" target=""_blank"">Demo Qalingo Company</a>","Copyright © 2015 - <a href=""http://www.qalingo.com"" alt=""Qalingo.com"" target=""_blank"">{Q}alingo</a> by  <a href=""http://www.Demo Qalingo Company.com"" alt=""Demo Qalingo Company.com"" target=""_blank"">Demo Qalingo Company</a>","Copyright © 2015 - <a href=""http://www.qalingo.com"" alt=""Qalingo.com"" target=""_blank"">{Q}alingo</a> by  <a href=""http://www.Demo Qalingo Company.com"" alt=""Demo Qalingo Company.com"" target=""_blank"">Demo Qalingo Company</a>","Copyright © 2015 - <a href=""http://www.qalingo.com"" alt=""Qalingo.com"" target=""_blank"">{Q}alingo</a> by  <a href=""http://www.Demo Qalingo Company.com"" alt=""Demo Qalingo Company.com"" target=""_blank"">Demo Qalingo Company</a>","Copyright © 2015 - <a href=""http://www.qalingo.com"" alt=""Qalingo.com"" target=""_blank"">{Q}alingo</a> by  <a href=""http://www.Demo Qalingo Company.com"" alt=""Demo Qalingo Company.com"" target=""_blank"">Demo Qalingo Company</a>","Copyright © 2015 - <a href=""http://www.qalingo.com"" alt=""Qalingo.com"" target=""_blank"">{Q}alingo</a> by  <a href=""http://www.Demo Qalingo Company.com"" alt=""Demo Qalingo Company.com"" target=""_blank"">Demo Qalingo Company</a>","版权 © 2015 - <a href=""http://www.qalingo.com"" alt=""Qalingo.com"" target=""_blank"">{Q}alingo</a> by  <a href=""http://www.Demo Qalingo Company.com"" alt=""Demo Qalingo Company.com"" target=""_blank"">Demo Qalingo Company</a>","版權 © 2015 - <a href=""http://www.qalingo.com"" alt=""Qalingo.com"" target=""_blank"">{Q}alingo</a> by  <a href=""http://www.Demo Qalingo Company.com"" alt=""Demo Qalingo Company.com"" target=""_blank"">Demo Qalingo Company</a>","版權 © 2015 - <a href=""http://www.qalingo.com"" alt=""Qalingo.com"" target=""_blank"">{Q}alingo</a> by  <a href=""http://www.Demo Qalingo Company.com"" alt=""Demo Qalingo Company.com"" target=""_blank"">Demo Qalingo Company</a>","版權 © 2015 - <a href=""http://www.qalingo.com"" alt=""Qalingo.com"" target=""_blank"">{Q}alingo</a> by  <a href=""http://www.Demo Qalingo Company.com"" alt=""Demo Qalingo Company.com"" target=""_blank"">Demo Qalingo Company</a>","Copyright © 2015 - <a href=""http://www.qalingo.com"" alt=""Qalingo.com"" target=""_blank"">{Q}alingo</a> by  <a href=""http://www.Demo Qalingo Company.com"" alt=""Demo Qalingo Company.com"" target=""_blank"">Demo Qalingo Company</a>"
,,,,,,,,,,,,,,
"legal.terms","warning","Conformément à l&#39;Art. 34 de la Loi française "" informatique et libertés "" vous disposez d&#39;un droit d&#39;accès, de modification, de rectification et de suppression des données qui vous concernent.<br/>Pour exercer ce droit, adressez-vous à : {0}","Conformément à l&#39;Art. 34 de la Loi française "" informatique et libertés "" vous disposez d&#39;un droit d&#39;accès, de modification, de rectification et de suppression des données qui vous concernent.<br/>Pour exercer ce droit, adressez-vous à : {0}","Conformément à l&#39;Art. 34 de la Loi française "" informatique et libertés "" vous disposez d&#39;un droit d&#39;accès, de modification, de rectification et de suppression des données qui vous concernent.<br/>Pour exercer ce droit, adressez-vous à : {0}","Conformément à l&#39;Art. 34 de la Loi française "" informatique et libertés "" vous disposez d&#39;un droit d&#39;accès, de modification, de rectification et de suppression des données qui vous concernent.<br/>Pour exercer ce droit, adressez-vous à : {0}","Conformément à l&#39;Art. 34 de la Loi française "" informatique et libertés "" vous disposez d&#39;un droit d&#39;accès, de modification, de rectification et de suppression des données qui vous concernent.<br/>Pour exercer ce droit, adressez-vous à : {0}","Conformément à l&#39;Art. 34 de la Loi française "" informatique et libertés "" vous disposez d&#39;un droit d&#39;accès, de modification, de rectification et de suppression des données qui vous concernent.<br/>Pour exercer ce droit, adressez-vous à : {0}","Conformément à l&#39;Art. 34 de la Loi française "" informatique et libertés "" vous disposez d&#39;un droit d&#39;accès, de modification, de rectification et de suppression des données qui vous concernent.<br/>Pour exercer ce droit, adressez-vous à : {0}","Conformément à l&#39;Art. 34 de la Loi française "" informatique et libertés "" vous disposez d&#39;un droit d&#39;accès, de modification, de rectification et de suppression des données qui vous concernent.<br/>Pour exercer ce droit, adressez-vous à : {0}","据法国现行34法“数据保护” 你有权访问 修改 更正和删除数据你<BR/>行使这项权利 请联系：XXXXX - 客户服务 - 为XXXXX巴黎 - 法国。","據法國現行34法“數據保護”你有權訪問修改更正和刪除數據你<BR/>行使這項權利請聯繫：為XXXXX XXXXX - 客戶服務 - 巴黎 - 法國。","據法國現行34法“數據保護”你有權訪問修改更正和刪除數據你<BR/>行使這項權利請聯繫：為XXXXX XXXXX - 客戶服務 - 巴黎 - 法國。","據法國現行34法“數據保護”你有權訪問修改更正和刪除數據你<BR/>行使這項權利請聯繫：為XXXXX XXXXX - 客戶服務 - 巴黎 - 法國。","Conformément à l&#39;Art. 34 de la Loi française "" informatique et libertés "" vous disposez d&#39;un droit d&#39;accès, de modification, de rectification et de suppression des données qui vous concernent.<br/>Pour exercer ce droit, adressez-vous à : {0}"
,,,,,,,,,,,,,,
"legal.terms","company.name","Demo Qalingo Company","Demo Qalingo Company","Demo Qalingo Company","Demo Qalingo Company","Demo Qalingo Company","Demo Qalingo Company","Demo Qalingo Company","Demo Qalingo Company","Demo Qalingo Company","Demo Qalingo Company","Demo Qalingo Company","Demo Qalingo Company","Demo Qalingo Company"
"legal.terms","company.address",,,,,,,,,,,,,
"legal.terms","company.address.additional.info",,,,,,,,,,,,,
"legal.terms","company.zip.or.postal.code",92300,92300,92300,92300,92300,92300,92300,92300,92300,92300,92300,92300,92300
"legal.terms","company.city","Levallois-Perret","Levallois-Perret","Levallois-Perret","Levallois-Perret","Levallois-Perret","Levallois-Perret","Levallois-Perret","Levallois-Perret","勒瓦卢瓦 - 佩雷","勒瓦盧瓦 - 佩雷","勒瓦盧瓦 - 佩雷","勒瓦盧瓦 - 佩雷","Levallois-Perret"
"legal.terms","company.state","Île-de-France","Île-de-France","Île-de-France","Île-de-France","Île-de-France","Île-de-France","Île-de-France","Île-de-France","法国法兰西岛大区上塞纳省","法國法蘭西島大區上塞納省","法國法蘭西島大區上塞納省","法國法蘭西島大區上塞納省","Île-de-France"
