"## Filename : qalingo-common-wording",,,,,,,,,,,,,,
"## PrefixKey : common",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"##",,,,,,,,,,,,,,
"## Qalingo - {Q} Project",,,,,,,,,,,,,,
"## Internationalisation - """"XXLANGUAGE_CODEXX"""" - Common Messages",,,,,,,,,,,,,,
"##",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Prefix","Key","en","fr","de","es","it","nl","pt","jp","zh_CN","zh_HK","zh_SG","zh_TW","vi_VN"
"error","box.close.icon","×","×","×","×","×","×","×","×","×","×","×","×","×"
"## -- Auth --",,,,,,,,,,,,,,
"auth","login.or.password.are.wrong","Login or password are wrong","Identifiant ou mot de passe erronés","Login oder Passwort sind falsch","Usuario o contraseña son incorrectos","Accedi o la password sono errati","Login of wachtwoord verkeerd","Login ou senha estão errados","ログインまたはパスワードが間違っている","登录名或密码错误","登錄名或密碼錯誤","登錄名或密碼錯誤","登錄名或密碼錯誤","Tên đăng nhập hoặc mật khẩu sai"
"login_form_forgotten_password_submit",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"auth","login.form.login.title","authentication","authentification","authentication","authentication","authentication","authentication","authentication","認証","认证","認證","認證","認證","Xác thực"
"auth","login.form.login.label","Login","Email ou nom d&#39;utilisateur","Login","Inicio de sesión","Login","Inloggen","Login","ログイン","登录","登錄","登錄","登錄","Đăng nhập"
"auth","login.form.login.placeholder.label","Login","Email ou nom d&#39;utilisateur","Login","Inicio de sesión","Login","Inloggen","Login","ログイン","登录","登錄","登錄","登錄","Đăng nhập"
"auth","login.form.forgotten.password.label","Forgotten password","Mot de passe oublié","Passwort vergessen","¿Olvidó su clave","Password dimenticata","Wachtwoord vergeten","Esqueci minha senha","パスワードを忘れた","忘记密码","忘記密碼","忘记密码","忘記密碼","Quên mật khẩu"
"auth","login.form.password.label","Password","Mot de passe","Passwort","Contraseña","Password","Wachtwoord","Senha","パスワード","密码","密碼","密碼","密碼","Mật khẩu"
"auth","login.form.password.placeholder.label","Password","Mot de passe","Passwort","Contraseña","Password","Wachtwoord","Senha","パスワード","密码","密碼","密碼","密碼","Mật khẩu"
"auth","login.form.remember.label","Remember me on this computer.","Mémoriser mon accès.","Meine Daten auf diesem Computer.","Recordarme en este equipo.","Ricordami su questo computer.","Onthoud mij op deze computer.","Lembrar-me neste computador.","このコンピュータで私を忘れないでください。","Remember me on this computer.",,,,"Lưu lại mật khẩu trên máy"
"auth","login.form.login.submit","Login","Se connecter","Login","Iniciar sesión","Accesso","Inloggen","Login","ログイン","登录","登錄","登錄","登錄","Đăng nhập"
"auth","login.form.forgotten.password.submit","Reset password","Réinitialiser le mot de passe","Passwort zurücksetzen","Restablecer contraseña","Ripristina password","reset wachtwoord","Esqueci minha senha","パスワードのリセット","重设密码","重設密碼","重设密码","重設密碼","Đặt lại mật khẩu"
