"## Filename : qalingo-states",,,,,,,,,,,,,,,,
"## PrefixKey : state",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"##",,,,,,,,,,,,,,,,
"## Qalingo - {Q} Project",,,,,,,,,,,,,,,,
"## Internationalisation - """"XXLANGUAGE_CODEXX"""" - States file",,,,,,,,,,,,,,,,
"##",,,,,,,,,,,,,,,,
"Prefix","Key","en","fr","de","es","it","nl","pt","jp","zh_CN","zh_HK","zh_SG","zh_TW","vi_VN","ru","ca"
,"UNKNOWN","Unknown","Inconnu","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","未知","未知","未知","未知","không biết","неизвестный","Desconegut"
